FIPS,State,FIPSYearKey,County,FF/100000,Year,Mortality
01001,AL,1001-2007,Autauga,64.2131878,2007,236.7526105
01001,AL,1001-2009,Autauga,59.1063126,2009,234.2230575
01001,AL,1001-2011,Autauga,61.5195325,2011,230.8623831
01003,AL,1003-2007,Baldwin,74.6462981,2007,206.5192144
01003,AL,1003-2009,Baldwin,62.2644237,2009,201.0093752
01003,AL,1003-2011,Baldwin,64.8039546,2011,200.9726484
01005,AL,1005-2007,Barbour,67.2585418,2007,254.5108129
01005,AL,1005-2009,Barbour,70.6190941,2009,257.8456689
01005,AL,1005-2011,Barbour,70.0615804,2011,256.428686
01007,AL,1007-2007,Bibb,37.2352804,2007,241.6593487
01007,AL,1007-2009,Bibb,32.4269236,2009,242.5313857
01007,AL,1007-2011,Bibb,26.3550909,2011,241.5755463
01009,AL,1009-2007,Blount,47.4800408,2007,216.186509
01009,AL,1009-2009,Blount,41.1346302,2009,215.2636445
01009,AL,1009-2011,Blount,34.6758673,2011,213.8288873
01011,AL,1011-2007,Bullock,27.3572862,2007,246.3228494
01011,AL,1011-2009,Bullock,36.4132909,2009,240.5907027
01011,AL,1011-2011,Bullock,37.9434642,2011,234.5223503
01013,AL,1013-2007,Butler,74.0996888,2007,243.1686839
01013,AL,1013-2009,Butler,85.1532759,2009,241.8026136
01013,AL,1013-2011,Butler,82.3244552,2011,241.9017952
01015,AL,1015-2007,Calhoun,88.6461953,2007,255.6240894
01015,AL,1015-2009,Calhoun,83.2741648,2009,252.2209939
01015,AL,1015-2011,Calhoun,77.2515429,2011,250.7209257
01017,AL,1017-2007,Chambers,66.2232588,2007,272.463954
01017,AL,1017-2009,Chambers,64.1025641,2009,271.0469713
01017,AL,1017-2011,Chambers,67.7686437,2011,271.1310196
01019,AL,1019-2007,Cherokee,81.7193757,2007,231.642958
01019,AL,1019-2009,Cherokee,65.4450262,2009,229.0269113
01019,AL,1019-2011,Cherokee,65.2415858,2011,229.1959471
01021,AL,1021-2007,Chilton,75.5393985,2007,240.2354466
01021,AL,1021-2009,Chilton,53.52447,2009,240.0031213
01021,AL,1021-2011,Chilton,47.8414398,2011,239.5807241
01023,AL,1023-2007,Choctaw,21.159543,2007,210.8223435
01023,AL,1023-2009,Choctaw,28.5918513,2009,208.1204802
01023,AL,1023-2011,Choctaw,44.0884709,2011,205.6050826
01025,AL,1025-2007,Clarke,98.4251969,2007,227.1259001
01025,AL,1025-2009,Clarke,88.3188695,2009,224.4185813
01025,AL,1025-2011,Clarke,93.4033859,2011,221.8745662
01027,AL,1027-2007,Clay,43.566657,2007,228.0468775
01027,AL,1027-2009,Clay,29.3255132,2009,226.8437908
01027,AL,1027-2011,Clay,28.855865,2011,228.0244977
01029,AL,1029-2007,Cleburne,40.8385516,2007,251.4745483
01029,AL,1029-2009,Cleburne,47.4286876,2009,251.2463825
01029,AL,1029-2011,Cleburne,53.9265251,2011,249.457737
01031,AL,1031-2007,Coffee,76.9132163,2007,216.435991
01031,AL,1031-2009,Coffee,71.9646345,2009,215.4070776
01031,AL,1031-2011,Coffee,71.2504453,2011,214.1068893
01033,AL,1033-2007,Colbert,76.9146248,2007,241.2420368
01033,AL,1033-2009,Colbert,75.0379765,2009,241.9794662
01033,AL,1033-2011,Colbert,88.0540065,2011,242.9608306
01035,AL,1035-2007,Conecuh,45.7386797,2007,240.1436345
01035,AL,1035-2009,Conecuh,38.6667698,2009,241.8533892
01035,AL,1035-2011,Conecuh,22.8920259,2011,247.3831372
01037,AL,1037-2007,Coosa,0,2007,229.9912457
01037,AL,1037-2009,Coosa,0,2009,225.013448
01037,AL,1037-2011,Coosa,0,2011,224.1023301
01039,AL,1039-2007,Covington,78.7957831,2007,255.0113109
01039,AL,1039-2009,Covington,68.1607503,2009,252.6374398
01039,AL,1039-2011,Covington,60.4340743,2011,249.413195
01041,AL,1041-2007,Crenshaw,29.1099629,2007,246.8639508
01041,AL,1041-2009,Crenshaw,21.7691024,2009,243.0740187
01041,AL,1041-2011,Crenshaw,28.7542233,2011,243.1274457
01043,AL,1043-2007,Cullman,64.5145282,2007,227.7537492
01043,AL,1043-2009,Cullman,61.1411382,2009,228.9750714
01043,AL,1043-2011,Cullman,64.5673984,2011,227.2633725
01045,AL,1045-2007,Dale,72.5193212,2007,240.944806
01045,AL,1045-2009,Dale,68.540096,2009,240.3273724
01045,AL,1045-2011,Dale,63.9437295,2011,235.9691353
01047,AL,1047-2007,Dallas,56.1009818,2007,274.6604921
01047,AL,1047-2009,Dallas,47.7042338,2009,274.4179714
01047,AL,1047-2011,Dallas,46.1552663,2011,272.9876095
01049,AL,1049-2007,DeKalb,74.6979129,2007,221.3591197
01049,AL,1049-2009,DeKalb,59.09484,2009,222.8856929
01049,AL,1049-2011,DeKalb,54.6409807,2011,218.3367946
01051,AL,1051-2007,Elmore,42.6031836,2007,243.7574732
01051,AL,1051-2009,Elmore,36.6009112,2009,242.5326618
01051,AL,1051-2011,Elmore,39.9191637,2011,239.4787375
01053,AL,1053-2007,Escambia,61.1328177,2007,246.6640756
01053,AL,1053-2009,Escambia,58.770102,2009,244.4692408
01053,AL,1053-2011,Escambia,60.3753773,2011,243.1177351
01055,AL,1055-2007,Etowah,80.4138893,2007,247.5307178
01055,AL,1055-2009,Etowah,79.116214,2009,248.0410747
01055,AL,1055-2011,Etowah,72.8646348,2011,246.3689736
01057,AL,1057-2007,Fayette,79.8266621,2007,247.9828903
01057,AL,1057-2009,Fayette,69.0806517,2009,246.7990707
01057,AL,1057-2011,Fayette,87.3006635,2011,251.4787396
01059,AL,1059-2007,Franklin,78.3622294,2007,263.8667433
01059,AL,1059-2009,Franklin,70.760027,2009,262.6688387
01059,AL,1059-2011,Franklin,53.3182788,2011,265.2509751
01061,AL,1061-2007,Geneva,50.5502197,2007,225.7541546
01061,AL,1061-2009,Geneva,38.5193174,2009,228.4823459
01061,AL,1061-2011,Geneva,41.0738957,2011,226.2724483
01063,AL,1063-2007,Greene,21.978022,2007,256.4508755
01063,AL,1063-2009,Greene,11.326311,2009,252.0306853
01063,AL,1063-2011,Greene,0,2011,255.8685298
01065,AL,1065-2007,Hale,16.5828312,2007,261.285206
01065,AL,1065-2009,Hale,27.8164117,2009,260.1511616
01065,AL,1065-2011,Hale,25.9386551,2011,263.133505
01067,AL,1067-2007,Henry,78.0640125,2007,233.6794689
01067,AL,1067-2009,Henry,60.0708836,2009,233.5519311
01067,AL,1067-2011,Henry,57.4316563,2011,230.6753969
01069,AL,1069-2007,Houston,88.3029407,2007,221.8868682
01069,AL,1069-2009,Houston,82.9295099,2009,221.4288421
01069,AL,1069-2011,Houston,88.8940988,2011,217.5738191
01071,AL,1071-2007,Jackson,64.3988181,2007,263.3479179
01071,AL,1071-2009,Jackson,56.7773194,2009,261.3360536
01071,AL,1071-2011,Jackson,56.2946839,2011,261.6162578
