,County,State,fips,merged_fips,,PAPercent,Year
0,"Autauga, AL",Alabama,1001,1001,1001-2005,72.405,2005
1,"Baldwin, AL",Alabama,1003,1003,1003-2005,75.36,2005
2,"Barbour, AL",Alabama,1005,1005,1005-2005,62.79,2005
3,"Bibb, AL",Alabama,1007,1007,1007-2005,63.805,2005
4,"Blount, AL",Alabama,1009,1009,1009-2005,66.355,2005
5,"Bullock, AL",Alabama,1011,1011,1011-2005,59.445,2005
6,"Butler, AL",Alabama,1013,1013,1013-2005,66.885,2005
7,"Calhoun, AL",Alabama,1015,1015,1015-2005,69.93,2005
8,"Chambers, AL",Alabama,1017,1017,1017-2005,67.53,2005
9,"Cherokee, AL",Alabama,1019,1019,1019-2005,62.145,2005
10,"Chilton, AL",Alabama,1021,1021,1021-2005,66.435,2005
11,"Choctaw, AL",Alabama,1023,1023,1023-2005,64.81,2005
12,"Clarke, AL",Alabama,1025,1025,1025-2005,67.955,2005
13,"Clay, AL",Alabama,1027,1027,1027-2005,65.095,2005
14,"Cleburne, AL",Alabama,1029,1029,1029-2005,63.925,2005
15,"Coffee, AL",Alabama,1031,1031,1031-2005,71.445,2005
16,"Colbert, AL",Alabama,1033,1033,1033-2005,71.49,2005
17,"Conecuh, AL",Alabama,1035,1035,1035-2005,62.995,2005
18,"Coosa, AL",Alabama,1037,1037,1037-2005,64.765,2005
19,"Covington, AL",Alabama,1039,1039,1039-2005,67.845,2005
20,"Crenshaw, AL",Alabama,1041,1041,1041-2005,65.445,2005
21,"Cullman, AL",Alabama,1043,1043,1043-2005,69.14,2005
22,"Dale, AL",Alabama,1045,1045,1045-2005,72.21,2005
23,"Dallas, AL",Alabama,1047,1047,1047-2005,65.135,2005
24,"DeKalb, AL",Alabama,1049,1049,1049-2005,61.635,2005
25,"Elmore, AL",Alabama,1051,1051,1051-2005,72.345,2005
26,"Escambia, AL",Alabama,1053,1053,1053-2005,65.8,2005
27,"Etowah, AL",Alabama,1055,1055,1055-2005,67.735,2005
28,"Fayette, AL",Alabama,1057,1057,1057-2005,64.09,2005
29,"Franklin, AL",Alabama,1059,1059,1059-2005,64.81,2005
30,"Geneva, AL",Alabama,1061,1061,1061-2005,66.595,2005
31,"Greene, AL",Alabama,1063,1063,1063-2005,59.87,2005
32,"Hale, AL",Alabama,1065,1065,1065-2005,59.635,2005
33,"Henry, AL",Alabama,1067,1067,1067-2005,66.215,2005
34,"Houston, AL",Alabama,1069,1069,1069-2005,73.26,2005
35,"Jackson, AL",Alabama,1071,1071,1071-2005,65.445,2005
36,"Jefferson, AL",Alabama,1073,1073,1073-2005,72.355,2005
37,"Lamar, AL",Alabama,1075,1075,1075-2005,66.85,2005
38,"Lauderdale, AL",Alabama,1077,1077,1077-2005,71.73,2005
39,"Lawrence, AL",Alabama,1079,1079,1079-2005,68.585,2005
40,"Lee, AL",Alabama,1081,1081,1081-2005,74.675,2005
41,"Limestone, AL",Alabama,1083,1083,1083-2005,70.19,2005
42,"Lowndes, AL",Alabama,1085,1085,1085-2005,62.875,2005
43,"Macon, AL",Alabama,1087,1087,1087-2005,67.04,2005
44,"Madison, AL",Alabama,1089,1089,1089-2005,75.485,2005
45,"Marengo, AL",Alabama,1091,1091,1091-2005,68.22,2005
46,"Marion, AL",Alabama,1093,1093,1093-2005,64.535,2005
47,"Marshall, AL",Alabama,1095,1095,1095-2005,65.015,2005
48,"Mobile, AL",Alabama,1097,1097,1097-2005,70.375,2005
49,"Monroe, AL",Alabama,1099,1099,1099-2005,65.315,2005
50,"Montgomery, AL",Alabama,1101,1101,1101-2005,73.755,2005
51,"Morgan, AL",Alabama,1103,1103,1103-2005,73.3,2005
52,"Perry, AL",Alabama,1105,1105,1105-2005,60.76,2005
53,"Pickens, AL",Alabama,1107,1107,1107-2005,66.72,2005
54,"Pike, AL",Alabama,1109,1109,1109-2005,66.645,2005
55,"Randolph, AL",Alabama,1111,1111,1111-2005,66.66,2005
56,"Russell, AL",Alabama,1113,1113,1113-2005,67.55,2005
57,"St. Clair, AL",Alabama,1115,1115,1115-2005,70.855,2005
58,"Shelby, AL",Alabama,1117,1117,1117-2005,78.845,2005
59,"Sumter, AL",Alabama,1119,1119,1119-2005,63.63,2005
60,"Talladega, AL",Alabama,1121,1121,1121-2005,66.02,2005
61,"Tallapoosa, AL",Alabama,1123,1123,1123-2005,68.11,2005
62,"Tuscaloosa, AL",Alabama,1125,1125,1125-2005,70.765,2005
63,"Walker, AL",Alabama,1127,1127,1127-2005,64.8,2005
64,"Washington, AL",Alabama,1129,1129,1129-2005,67.1,2005
65,"Wilcox, AL",Alabama,1131,1131,1131-2005,59.66,2005
66,"Winston, AL",Alabama,1133,1133,1133-2005,63.785,2005
67,"Aleutians East, AK",Alaska,2013,2013,2013-2005,71.785,2005
68,"Aleutians West, AK",Alaska,2016,2016,2016-2005,74.52,2005
69,"Anchorage, AK",Alaska,2020,2020,2020-2005,79.93,2005
70,"Bethel, AK",Alaska,2050,2050,2050-2005,69.55,2005
71,"Bristol Bay, AK",Alaska,2060,2060,2060-2005,78.485,2005
72,"Dillingham, AK",Alaska,2070,2070,2070-2005,72.76,2005
73,"Fairbanks North Star, AK",Alaska,2090,2090,2090-2005,79.08,2005
74,"Haines, AK",Alaska,2100,2100,2100-2005,80.77,2005
75,"Juneau City and, AK",Alaska,2110,2110,2110-2005,84.875,2005
76,"Kenai Peninsula, AK",Alaska,2122,2122,2122-2005,78.145,2005
77,"Kodiak Island, AK",Alaska,2150,2150,2150-2005,79.85,2005
78,"Lake and Peninsula, AK",Alaska,2164,2164,2164-2005,70.195,2005
79,"Matanuska-Susitna, AK",Alaska,2170,2170,2170-2005,77.99,2005
80,"Nome, AK",Alaska,2180,2180,2180-2005,71.785,2005
81,"North Slope, AK",Alaska,2185,2185,2185-2005,71.895,2005
82,"Northwest Arctic, AK",Alaska,2188,2188,2188-2005,70.01,2005
83,"Sitka City and, AK",Alaska,2220,2220,2220-2005,82.465,2005
84,"Hoonah-Angoon, AK",Alaska,2105,2232,2232-2005,77.45,2005
85,"Hoonah-Angoon, AK",Alaska,2105,2232,2232-2005,79.73,2005
86,"Southeast Fairbanks, AK",Alaska,2240,2240,2240-2005,75.785,2005
87,"Valdez-Cordova, AK",Alaska,2261,2261,2261-2005,78.595,2005
88,"Wade Hampton, AK",Alaska,2270,2270,2270-2005,63.57,2005
89,"Ketchikan Gateway, AK",Alaska,2130,2280,2280-2005,77.08,2005
90,"Prince of Wales-Hyder, AK",Alaska,2198,2280,2280-2005,77.08,2005
91,"Ketchikan Gateway, AK",Alaska,2130,2280,2280-2005,81.8,2005
92,"Prince of Wales-Hyder, AK",Alaska,2198,2280,2280-2005,81.8,2005
93,"Yakutat City and, AK",Alaska,2282,2282,2282-2005,78.4,2005
94,"Yukon-Koyukuk, AK",Alaska,2290,2911,2911-2005,73.32,2005
95,"Yukon-Koyukuk, AK",Alaska,2290,2911,2911-2005,74.32,2005
96,"Apache, AZ",Arizona,4001,4001,4001-2005,68.72,2005
97,"Cochise, AZ",Arizona,4003,4003,4003-2005,76.905,2005
98,"Coconino, AZ",Arizona,4005,4005,4005-2005,82.285,2005
99,"Gila, AZ",Arizona,4007,4007,4007-2005,73.83,2005
100,"Graham, AZ",Arizona,4009,4009,4009-2005,74.305,2005
101,"Greenlee, AZ",Arizona,4011,4011,4011-2005,79.195,2005
102,"La Paz, AZ",Arizona,4012,4012,4012-2005,68.38,2005
103,"Maricopa, AZ",Arizona,4013,4013,4013-2005,78.1,2005
104,"Mohave, AZ",Arizona,4015,4015,4015-2005,74.65,2005
105,"Navajo, AZ",Arizona,4017,4017,4017-2005,75.395,2005
106,"Pima, AZ",Arizona,4019,4019,4019-2005,78.96,2005
107,"Pinal, AZ",Arizona,4021,4021,4021-2005,74.105,2005
108,"Santa Cruz, AZ",Arizona,4023,4023,4023-2005,73.25,2005
109,"Yavapai, AZ",Arizona,4025,4025,4025-2005,79.535,2005
110,"Yuma, AZ",Arizona,4027,4027,4027-2005,71.145,2005
111,"Arkansas, AR",Arkansas,5001,5001,5001-2005,68.67,2005
112,"Ashley, AR",Arkansas,5003,5003,5003-2005,66.095,2005
113,"Baxter, AR",Arkansas,5005,5005,5005-2005,76.595,2005
114,"Benton, AR",Arkansas,5007,5007,5007-2005,77.74,2005
115,"Boone, AR",Arkansas,5009,5009,5009-2005,73.465,2005
116,"Bradley, AR",Arkansas,5011,5011,5011-2005,60.755,2005
117,"Calhoun, AR",Arkansas,5013,5013,5013-2005,67.535,2005
118,"Carroll, AR",Arkansas,5015,5015,5015-2005,71.145,2005
119,"Chicot, AR",Arkansas,5017,5017,5017-2005,61.645,2005
120,"Clark, AR",Arkansas,5019,5019,5019-2005,69.855,2005
121,"Clay, AR",Arkansas,5021,5021,5021-2005,63.45,2005
122,"Cleburne, AR",Arkansas,5023,5023,5023-2005,71.245,2005
123,"Cleveland, AR",Arkansas,5025,5025,5025-2005,70.075,2005
124,"Columbia, AR",Arkansas,5027,5027,5027-2005,71.565,2005
125,"Conway, AR",Arkansas,5029,5029,5029-2005,69.685,2005
126,"Craighead, AR",Arkansas,5031,5031,5031-2005,71.64,2005
127,"Crawford, AR",Arkansas,5033,5033,5033-2005,69.885,2005
128,"Crittenden, AR",Arkansas,5035,5035,5035-2005,65.55,2005
129,"Cross, AR",Arkansas,5037,5037,5037-2005,65.41,2005
130,"Dallas, AR",Arkansas,5039,5039,5039-2005,64.57,2005
131,"Desha, AR",Arkansas,5041,5041,5041-2005,63.61,2005
132,"Drew, AR",Arkansas,5043,5043,5043-2005,70.045,2005
133,"Faulkner, AR",Arkansas,5045,5045,5045-2005,73.63,2005
134,"Franklin, AR",Arkansas,5047,5047,5047-2005,70.185,2005
135,"Fulton, AR",Arkansas,5049,5049,5049-2005,73.065,2005
136,"Garland, AR",Arkansas,5051,5051,5051-2005,75.845,2005
137,"Grant, AR",Arkansas,5053,5053,5053-2005,69.99,2005
138,"Greene, AR",Arkansas,5055,5055,5055-2005,67.58,2005
139,"Hempstead, AR",Arkansas,5057,5057,5057-2005,68.05,2005
140,"Hot Spring, AR",Arkansas,5059,5059,5059-2005,68.43,2005
141,"Howard, AR",Arkansas,5061,5061,5061-2005,69.895,2005
142,"Independence, AR",Arkansas,5063,5063,5063-2005,70.95,2005
143,"Izard, AR",Arkansas,5065,5065,5065-2005,72.445,2005
144,"Jackson, AR",Arkansas,5067,5067,5067-2005,61.315,2005
145,"Jefferson, AR",Arkansas,5069,5069,5069-2005,69.265,2005
146,"Johnson, AR",Arkansas,5071,5071,5071-2005,68.415,2005
147,"Lafayette, AR",Arkansas,5073,5073,5073-2005,64.795,2005
148,"Lawrence, AR",Arkansas,5075,5075,5075-2005,63.77,2005
149,"Lee, AR",Arkansas,5077,5077,5077-2005,58.005,2005
150,"Lincoln, AR",Arkansas,5079,5079,5079-2005,63.97,2005
151,"Little River, AR",Arkansas,5081,5081,5081-2005,69.185,2005
152,"Logan, AR",Arkansas,5083,5083,5083-2005,67.645,2005
153,"Lonoke, AR",Arkansas,5085,5085,5085-2005,72.14,2005
154,"Madison, AR",Arkansas,5087,5087,5087-2005,70.7,2005
155,"Marion, AR",Arkansas,5089,5089,5089-2005,72.9,2005
156,"Miller, AR",Arkansas,5091,5091,5091-2005,68.645,2005
157,"Mississippi, AR",Arkansas,5093,5093,5093-2005,63.355,2005
158,"Monroe, AR",Arkansas,5095,5095,5095-2005,61.655,2005
159,"Montgomery, AR",Arkansas,5097,5097,5097-2005,70.305,2005
160,"Nevada, AR",Arkansas,5099,5099,5099-2005,67.675,2005
161,"Newton, AR",Arkansas,5101,5101,5101-2005,71.09,2005
162,"Ouachita, AR",Arkansas,5103,5103,5103-2005,68.535,2005
163,"Perry, AR",Arkansas,5105,5105,5105-2005,69.655,2005
164,"Phillips, AR",Arkansas,5107,5107,5107-2005,61.24,2005
165,"Pike, AR",Arkansas,5109,5109,5109-2005,68.535,2005
166,"Poinsett, AR",Arkansas,5111,5111,5111-2005,61.3,2005
167,"Polk, AR",Arkansas,5113,5113,5113-2005,71.065,2005
168,"Pope, AR",Arkansas,5115,5115,5115-2005,74.27,2005
169,"Prairie, AR",Arkansas,5117,5117,5117-2005,65.77,2005
170,"Pulaski, AR",Arkansas,5119,5119,5119-2005,75.265,2005
171,"Randolph, AR",Arkansas,5121,5121,5121-2005,68.455,2005
172,"St. Francis, AR",Arkansas,5123,5123,5123-2005,62.705,2005
173,"Saline, AR",Arkansas,5125,5125,5125-2005,75.865,2005
174,"Scott, AR",Arkansas,5127,5127,5127-2005,67.205,2005
175,"Searcy, AR",Arkansas,5129,5129,5129-2005,69.335,2005
176,"Sebastian, AR",Arkansas,5131,5131,5131-2005,72.665,2005
177,"Sevier, AR",Arkansas,5133,5133,5133-2005,65.67,2005
178,"Sharp, AR",Arkansas,5135,5135,5135-2005,70.135,2005
179,"Stone, AR",Arkansas,5137,5137,5137-2005,68.84,2005
180,"Union, AR",Arkansas,5139,5139,5139-2005,70.06,2005
181,"Van Buren, AR",Arkansas,5141,5141,5141-2005,71.47,2005
182,"Washington, AR",Arkansas,5143,5143,5143-2005,77.365,2005
183,"White, AR",Arkansas,5145,5145,5145-2005,70.435,2005
184,"Woodruff, AR",Arkansas,5147,5147,5147-2005,62.305,2005
